Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 1 2 4 7,#NAME?,0.599859245,0.721890331,0.769822281,0.759876242,0.584554098,0.520805785,27,40.98677432
Feature(s): 3,38.2195208239702*x_1**2 - 14.1994795523049*x_1 + 2.91555455844977,0.608929232,0.878461357,0.761047494,0.310170626,0.71881931,0.882732417,5,40.95499287
Feature(s): 2 3 5,12.7700180101642*x_1 - 3.76132417164405*x_2 - 1.43166564441301*x_3 + 2.2275472*(1.851399*x_1 + 3.2081225*x_2 - 0.072261445*x_3 - 0.5745359)*(1.8687493*x_1 + 3.3071535*x_2 - 0.0044919644*x_3 - 0.61404234) + 1.63139698989787,0.713706791,0.7142372,0.651162836,0.524595796,0.638140183,0.732807225,21,40.91512937
Feature(s): 2 5 6 7,4.99986953400335*x_1 - 3.62002475735645*x_2 + 1.0520040202058*x_3 + 0.69097326614385*x_4 + 2.0455372*(4.342988*x_1 + 0.09352103*x_2 - 0.14397012*x_3 + 0.82414675*x_4 + 0.30906284)*(4.3604565*x_1 + 0.035365056*x_2 - 0.11340867*x_3 + 0.8211974*x_4 + 0.23686731) - 0.99442693825558,0.60420836,0.719156711,0.765627266,0.753657256,0.603051607,0.527506872,27,40.89328077
Feature(s): 1 2 6 7,#NAME?,0.606380989,0.697533718,0.763522986,0.744775619,0.562835382,0.536932032,27,40.55783039
Feature(s): 1 2 3 7,#NAME?,0.728807909,0.738614131,0.633756743,0.620066448,0.641198385,0.655106725,27,40.44371782
Feature(s): 1 3 4,#NAME?,0.711031502,0.723536286,0.654198182,0.517120524,0.652943824,0.738546097,21,40.40760132
Feature(s): 1 2 5,7.4954299778571*x_1 + 8.4933799549314*x_2 - 3.633703511613*x_3 + 1.4862739*(0.92875695*x_1 + 3.2074037*x_2 + 0.33152422*x_3 + 0.6957682)*(0.9976475*x_1 + 3.1293507*x_2 + 0.36653075*x_3 + 0.67230433) - 3.8315536136673,0.526650107,0.784519895,0.83728869,0.701193998,0.657872213,0.58096891,21,40.39220523
Feature(s): 1 2 3 5,#NAME?,0.760486989,0.693592936,0.595591702,0.583947586,0.646030391,0.685539143,27,40.22172871
Feature(s): 2 4 5 7,8.6320984111302*x_1 - 3.2012112205934*x_2 - 2.5833466404102*x_3 - 1.3533773722788*x_4 + 1.5959046*(3.8147993*x_1 + 0.5937353*x_2 - 0.03544738*x_3 + 1.105182*x_4 + 0.2062227)*(3.8302312*x_1 + 0.61877376*x_2 + 5.901542e-5*x_3 + 1.0344433*x_4 + 0.28641215) - 0.393596042253,0.594501097,0.736339258,0.774959354,0.743094856,0.591029425,0.538697096,27,39.87979766
Feature(s): 2 4 6,10.8451432828489*x_1 + 1.42506824197213*x_2 + 0.783572204247311*x_3 + 1.365001*(3.1564276*x_1 + 0.53558904*x_2 - 0.0952517*x_3 + 0.7342734)*(3.165167*x_1 + 0.45153734*x_2 - 0.15653132*x_3 + 0.77874464) - 4.2591715709037,0.522487087,0.756580194,0.840962525,0.693212596,0.65336113,0.588676902,21,39.78498418
Feature(s): 2 4 5,5.09416896541347*x_1 + 1.71416388728615*x_2 - 3.87862606888803*x_3 + 1.2470384*(2.5624356*x_1 + 1.4249923*x_2 + 0.4972986*x_3 + 0.31754246)*(2.5939174*x_1 + 1.3197219*x_2 + 0.519352*x_3 + 0.393221) - 1.31485393642514,0.53696646,0.739651935,0.828114346,0.669596654,0.626076897,0.610914526,21,39.32815573
Feature(s): 2 5,44.5660303762997*x_1**2 + 8.8036675802088*x_1*x_2 + 7.88121390773375*x_1 + 0.432335435557212*x_2**2 - 1.92361605346565*x_2 + 3.9153507*sin(5.279235*x_1 + 1.1478325*x_2 - 1.7206719) + 7.2736387*cos(4.557082*x_1 - 2.592422*x_2 + 0.37194425) - 3.11001989712925,0.632001685,0.744953767,0.738256022,0.692283243,0.705938322,0.58956787,27,39.21424635
Feature(s): 1 4,3.17272409716072*x_1**2 - 10.7317915128208*x_1*x_2 - 7.91331278904338*x_1 + 9.05921980541952*x_2**2 + 11.7573739704661*x_2 - 4.10687045417749,0.479666132,0.779058581,0.877859737,0.560276688,0.674203211,0.704770925,13,38.99714098
Feature(s): 2 3 4 7,11.8439000456611*x_1 - 0.520551445129202*x_2 - 6.887886009153*x_3 - 11.1940704768093*x_4 + 2.316128*(2.6172516*x_1 + 3.1990542*x_2 - 0.45823118*x_3 + 0.2603429*x_4 - 0.4730115)*(2.6467392*x_1 + 3.1926694*x_2 - 0.5080612*x_3 + 0.2405848*x_4 - 0.5071345) + 2.40280486450159,0.718565379,0.74995979,0.645613858,0.597339861,0.66146116,0.674415516,27,38.79526201
Feature(s): 2 4 6 7,11.76193173027*x_1 - 2.89686137988*x_2 + 0.4673809013704*x_3 - 7.029895430458*x_4 + 1.6033604*(3.781585*x_1 + 0.524546*x_2 - 0.20216161*x_3 + 1.1146392*x_4 + 0.28118116)*(3.7899606*x_1 + 0.5896574*x_2 - 0.08246703*x_3 + 1.1611007*x_4 + 0.26055908) - 0.507483164027,0.593821981,0.698614257,0.775608021,0.718644746,0.57432183,0.563748953,27,38.62333637
Feature(s): 4 6,-0.776951860628968*x_1**2 + 0.387257399150115*x_1*x_2 + 26.4103284022662*x_1 - 0.0477346560996152*x_2**2 + 4.12386634461095*x_2 + 8.61534579628027,0.467311768,0.923627059,0.888220177,0.561395744,0.739910164,0.703873564,13,38.43537561
Linear Regression: Feature 1,81.59481648990047*x1 - 0.10198401435478877,0.412777769,0.786074514,0.932578347,0.389124592,0.70474879,0.830681531,2,38.09511802
Feature(s): 1 2 5 6,#NAME?,0.578663993,0.726212774,0.789947758,0.716335187,0.619598284,0.566058045,27,37.749959
Feature(s): 2 4,9.45828186939892*x_1**2 + 0.674665118664039*x_1*x_2 + 8.88850142487732*x_1 + 0.0120247840110619*x_2**2 + 0.221266647961091*x_2 + 7.451834*sin(6.7477355*x_1 + 4.228109*x_2 - 2.8415437) + 1.6546428*cos(2.6865916*x_1 + 2.5074382*x_2 - 1.4656211) + 2.26682485201599,0.603546046,0.750801423,0.766267595,0.683609269,0.638040302,0.597819546,27,37.35776572
Feature(s): 4 5,9.07998481727371*x_1**2 + 4.41677774519143*x_1*x_2 + 4.93764824144449*x_1 + 0.536763151311745*x_2**2 - 3.90392281714923*x_2 - 0.431049844855849,0.511345475,0.736325932,0.850716871,0.48913718,0.631749069,0.759644472,13,37.02413276
Feature(s): 4 7,9.3829114588998*x_1**2 + 8.10964289911527*x_1*x_2 + 4.21577548196866*x_1 + 1.74962901625421*x_2**2 - 4.82275701370803*x_2 - 0.057728841472795,0.520352675,0.730328025,0.842839919,0.474154592,0.616942853,0.770703403,13,36.72536332
Feature(s): 3 7,52.631229079711*x_1**2 - 19.642472193452*x_1*x_2 - 14.812852397264*x_1 + 1.83176762558978*x_2**2 - 1.44473401120417*x_2 + 2.82056722427523,0.688428012,0.769678926,0.679302614,0.305206638,0.692567088,0.885902779,13,36.6817325
Feature(s): 1 2 4 5 7,#NAME?,0.617308387,0.736404225,0.752850174,0.771964095,0.594698546,0.507527818,33,36.46362408
Feature(s): 3 4,24.7999957273698*x_1**2 + 12.4880744760505*x_1*x_2 - 14.2961196526739*x_1 + 1.5704406325067*x_2**2 + 2.07568472002414*x_2 + 2.66775599273838,0.65933178,0.790204807,0.710313214,0.329358964,0.678180815,0.870368762,13,36.43453719
Feature(s): 2 6,13.9619228200928*x_1**2 - 0.435117189961052*x_1*x_2 + 9.69675027416536*x_1 + 0.00332071357972916*x_2**2 - 0.595660345408034*x_2 + 2.2507765*sin(4.6949205*x_1 - 0.26440609*x_2 + 0.08951645) + 4.6488867*cos(-13.559042*x_1 + 0.4989812*x_2 + 3.9242043) + 0.790892531813601,0.588605617,0.66333422,0.780572527,0.678962753,0.621225554,0.602193336,27,36.37841851
