Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 1 5 7 8 9,(0.0027094244555295887*x_4**2 - 0.0071213036288823307*x_4*x_5 + 5.6367269386867895*x_4 + 0.0046793116206813434*x_5**2 + 2.4072264509608053*x_5 + 0.42431379255133461)/(0.00061454069971098119*x_4**2 - 0.001615225294809813*x_4*x_5 + 2.1599586274759188*x_4 + 0.001061342541465015*x_5**2 + 0.93574665188271613*x_5 + 2.8729270137809459),0.017129873,1.591589557,1.206513403,0.012897415,1.3390952,1.055940332,27,-25.49863562
Feature(s): 1 7 8 9,(0.0008299080965608151*x_3**2 - 0.0022264246139442249*x_3*x_4 + 2.418018239116542*x_3 + 0.0014930020347211511*x_4**2 - 0.0048512608654465799*x_4 + 0.38240407869058639)/(0.00019943795125062261*x_3**2 - 0.00053503944046225618*x_3*x_4 + 0.92076909097376482*x_3 + 0.00035878824203756584*x_4**2 + 0.0049133055833002728*x_4 + 7.7864300620790339),0.016358166,1.509072188,1.206986961,0.013345182,1.263921557,1.055700809,27,-25.51483261
Feature(s): 2 6 8 9,(-2.0323192945251064*x_3 + 1.259911248625865*(0.018113112787128953*x_3 + 0.0191040370784133*x_4 - 3.9045131924748544)*(0.018164057212651994*x_3 + 0.019447623429552988*x_4 - 3.178604359810667) - 2.0027435862842416)/(1.675811439750049*x_3 + 0.28620974510888547*(0.018113112787128953*x_3 + 0.0191040370784133*x_4 - 3.9045131924748544)*(0.018164057212651994*x_3 + 0.019447623429552988*x_4 - 3.178604359810667) + 2.5102240969052774),0.021262237,1.50241879,1.203974408,0.006847094,1.312870516,1.059171515,27,-25.59453345
Feature(s): 2 3 4 6 7 8 9,(-1.8708813972749121*x_6 + 0.9112825833367671*(0.01894878209662026*x_6 + 0.02037955996291066*x_7 - 3.891413835919444)*(0.018976974341342136*x_6 + 0.02050308463182815*x_7 - 3.6500345271386965) - 2.0164562881980639)/(1.5259502836435035*x_6 + 0.20538528787048288*(0.01894878209662026*x_6 + 0.02037955996291066*x_7 - 3.891413835919444)*(0.018976974341342136*x_6 + 0.02050308463182815*x_7 - 3.6500345271386965) + 2.5411256674100411),0.021238023,1.476856645,1.203989302,0.006854032,1.298509219,1.059167816,27,-25.59539726
Feature(s): 3 4 7 8 9,(-0.94720872292860919*x_4 + 0.22961983610899173*(0.024216530215655722*x_4 + 0.025513246817922153*x_5 - 1.1272344889612926)*(0.024461191133706282*x_4 + 0.025408801033443718*x_5 - 1.8197596078149816) - 1.5993821775180022)/(0.57039912355625536*x_4 + 0.05144428367264315*(0.024216530215655722*x_4 + 0.025513246817922153*x_5 - 1.1272344889612926)*(0.024461191133706282*x_4 + 0.025408801033443718*x_5 - 1.8197596078149816) + 2.8685913527457972),0.021286416,1.483108677,1.203959537,0.006257663,1.30743103,1.059485775,27,-25.62279605
Feature(s): 1 2 5 6 7 8 9,(-2.0009788933922393*x_6 + 0.6755012089359723*(0.022836569934891707*x_6 + 0.023127428591549124*x_7 - 2.645435940538708)*(0.02284406184439135*x_6 + 0.023168916608248286*x_7 - 2.5169829724649397) - 1.7460731661723928)/(1.3623912416121643*x_6 + 0.15232175922140911*(0.022836569934891707*x_6 + 0.023127428591549124*x_7 - 2.645435940538708)*(0.02284406184439135*x_6 + 0.023168916608248286*x_7 - 2.5169829724649397) + 2.1337548682163676),0.021351253,1.501937136,1.203919657,0.006108696,1.316199312,1.059565183,27,-25.62700258
Feature(s): 1 2 3 4 5 6 7 8 9,(-2.5960269772649208*x_8 + 2.4548532964321614*(0.015559175076027384*x_8 + 0.01557717000775323*x_9 - 4.285905316452553)*(0.015584156325225435*x_8 + 0.01573804335061034*x_9 - 3.917469934127724) - 2.0696872085872261)/(2.3283223808647073*x_8 + 0.5579236137407088*(0.015559175076027384*x_8 + 0.01557717000775323*x_9 - 4.285905316452553)*(0.015584156325225435*x_8 + 0.01573804335061034*x_9 - 3.917469934127724) + 2.5166267368783452),0.021254187,1.504845105,1.20397936,0.006133831,1.312989501,1.059551785,27,-25.63059913
Feature(s): 5 6 7 8 9,(-2.1936628035164497*x_4 + 1.1426471551801378*(0.02183594862824461*x_4 + 0.0210584536537288*x_5 - 4.154827606767886)*(0.02185230028926318*x_4 + 0.02124428668168466*x_5 - 4.090713640368767) - 1.7629967063670004)/(2.2853225743214325*x_4 + 0.25756123121853375*(0.02183594862824461*x_4 + 0.0210584536537288*x_5 - 4.154827606767886)*(0.02185230028926318*x_4 + 0.02124428668168466*x_5 - 4.090713640368767) + 2.3972292587146158),0.021277184,1.504315828,1.203965215,0.005900107,1.313577688,1.059676364,27,-25.64113549
Feature(s): 5 6 7 8,#NAME?,0.021181167,1.2896187,1.204024271,0.005352974,0.992926487,1.059967936,27,-25.67329296
Feature(s): 3 4 5 6 8 9,(0.00027304264480818031*x_5**2 + 0.0012454844692804262*x_5*x_6 - 2.2279106568771346*x_5 + 0.0011303831864419995*x_6**2 - 1.2615180874512714*x_6 + 0.84855457219372738)/(6.2490564040902817e-5*x_5**2 + 0.00028505080971581083*x_5*x_6 + 1.3417492662156771*x_5 + 0.00025870787675946673*x_6**2 + 0.69825150064445659*x_6 + 2.0365259874938985),0.020135583,1.493950127,1.204667174,0.004695724,1.275806074,1.060318084,27,-25.75843464
Feature(s): 2 3 4 5 7 8 9,(0.00063632629498171004*x_6**2 + 0.0024478499802316947*x_6*x_7 - 6.2805491712811625*x_6 + 0.002347866304558715*x_7**2 - 3.0541661963250536*x_7 + 1.4236264376288852)/(0.0001451453416002494*x_6**2 + 0.0005583519404570658*x_6*x_7 + 2.5486082985183811*x_6 + 0.00053554577186957987*x_7**2 + 1.1518518808466654*x_7 + 2.2785186277823618),0.020248348,1.490324768,1.204597855,0.004557988,1.280428942,1.060391448,27,-25.75968321
Feature(s): 5 7 8 9,#NAME?,-0.005075123,1.387082777,1.220066057,-0.010495903,1.107169576,1.068379416,25,-25.77855129
Feature(s): 4 5 6 7 8 9,(0.17657007766752597*(-0.5604924387534194*x_5 + 0.2015590281150847*x_6 + 0.4338663191339645)*(-0.35658840264287806*x_5 + 0.12528616098914352*x_6 + 0.7277455585218675) - 0.4758057022667526)/(0.0092867108398038866*x_5**2 - 0.0066024550267531847*x_5*x_6 + 0.22234124253899114*x_5 + 0.0011733573763734808*x_6**2 + 0.031093966071566999*x_6 + 1.3932525214395982),-0.000822152,1.575140084,1.217481968,-0.014925104,1.269989999,1.070718315,25,-25.78736281
Feature(s): 1 4 7 9,0.00177304324137427*x_1 + 0.00357317396219596*x_2 + 0.00259696539559392*x_3 + 4.50583596904388e-8*x_4 + 0.00023540376*(-0.03284074*x_1 + 0.10297251*x_2 + 0.038321245*x_3 + 0.039865497*x_4)*(0.0107045695*x_1 - 0.028192842*x_2 + 0.012828227*x_3 - 0.039864685*x_4 + 0.051701073) + 3.72537279939897,0.000156904,1.56609918,1.216886321,0.000220454,1.248388316,1.062699209,26,-25.9811321
Feature(s): 2 5 8,0.00256759000697367*x_1 + 0.000267259400040308*x_2 - 0.0005356272*(0.012745864*x_1 + 0.054921843*x_2 - 0.017508186*x_3)*(0.14410989*x_1 + 0.025150672*x_2 + 0.017510133*x_3) - 0.023585944*cos(0.00041862816*x_1 + 0.07576153*x_2 + 0.17915177*x_3 - 6.3448206e-5) + 3.74762762446197,0.000237208,1.576209899,1.216837452,5.99E-05,1.255760142,1.06278453,26,-25.98514408
Feature(s): 6 7 9,#NAME?,-1.49E-05,1.575226126,1.21699086,-7.64E-05,1.25550923,1.06285698,26,-26.00456588
Feature(s): 4 6 7 8,0.00108670890945371*x_1 + 0.00010182140304411*x_2 + 0.00074117368726732*x_3 - 1.96574961251257e-5*x_4 - 0.00051149214*(0.15831736*x_1 + 0.045645725*x_2 + 0.11950178*x_3 - 0.03004234*x_4)*(0.030200886*x_1 + 0.037933756*x_2 + 0.011724094*x_3 + 0.030044157*x_4 + 0.09693462) + 3.74963707062474,-1.53E-07,1.576512043,1.216981892,-0.00011516,1.256792008,1.062877562,26,-26.00576564
Feature(s): 3 4 6 7 8,0.000237358408908062*x_1 + 0.000360777841362054*x_2 + 9.98711678181412e-5*x_4 - 0.00063343026*(0.023714054*x_1 + 0.09011827*x_2 + 0.086519085*x_4 + 0.08834955*x_5)*(0.0117504485*x_1 + 0.07851752*x_2 + 0.105658025*x_3 + 0.12904549*x_4 - 0.08835392*x_5 - 0.039837915) + 3.74898720073774,-1.53E-07,1.576511422,1.216981892,-0.000115166,1.256791506,1.062877565,26,-26.00576595
Feature(s): 2 4 5 6 9,0.00353146808491394*x_2 - 0.0025996826925679*x_4 + 0.00027814903*(-0.09408959*x_1 - 0.18693528*x_2 + 0.02635185*x_3 + 0.14298885*x_4 + 0.028944213*x_5)*(0.062208906*x_1 + 0.093528025*x_2 + 0.012793388*x_3 - 0.04974691*x_4 + 0.02878719*x_5 - 0.010521358) + 3.7476032,-1.41E-08,1.575863316,1.216981808,-0.000121879,1.25626817,1.062881132,26,-26.00609464
Feature(s): 1 2 4 5 9,1.61269422243225e-6*x_1 + 5.60517638376605e-6*x_2 + 9.7667461811944e-6*x_3 - 0.000112541406*(0.03255973*x_1 + 0.038453992*x_2 + 0.06336257*x_3 + 0.037033904*x_4 - 0.020794531*x_5)*(0.09298739*x_1 + 0.07632069*x_3 - 0.033431347*x_4 + 0.0173058*x_5 + 0.084290944) + 3.74754123564558,-1.05E-08,1.575824395,1.216981806,-0.000122288,1.256236741,1.06288135,26,-26.00611492
Feature(s): 1 2 4 8,#NAME?,-3.15E-08,1.575159253,1.216981818,-0.000129386,1.255699649,1.062885122,26,-26.00647089
Feature(s): 1 2 6 7 8 9,#NAME?,-0.000104426,1.551468762,1.21704534,-0.000516942,1.236528909,1.063091038,26,-26.03106839
Feature(s): 1 2 3 5 9,4.19994221541645*x_1 + 2.38971317084482*x_2 + 2.74126709571244*x_3 + 0.652468232646261*x_4 - 7.84885075477575e-7*x_5 - 0.012187916*(0.057010144*x_1 + 0.019795828*x_2 + 0.017845444*x_3 + 0.0573358*x_4 + 0.029932685*x_5 - 0.029934317)*(0.12977573*x_1 + 0.14550385*x_2 + 0.08298619*x_3 - 0.05477175*x_4 - 0.029981367*x_5 + 0.032032277) + 3.56962693181084,0.099446604,1.856625221,1.154885204,0.03861183,1.501685036,1.04209574,33,-26.09707832
Feature(s): 1 2 4 5 6 7 8 9,(0.00082807613828853133*x_7**2 + 0.00098658545163435553*x_7*x_8 - 2.6786437557230745*x_7 + 0.00029385909765569618*x_8**2 + 0.65509688621855364*x_8 - 4.1389233360033308)/(0.00019907126650973272*x_7**2 + 0.00023717724288354599*x_7*x_8 + 1.4979903565016708*x_7 + 7.0644352663792806e-5*x_8**2 - 0.39575000513649304*x_8 + 4.0238326933813726),0.019354577,1.539486163,1.205147172,-0.00191767,1.429847493,1.063834944,27,-26.12815468
Feature(s): 5 7 8 9,(0.00082499501245605032*x_3**2 + 0.00087196255241614599*x_3*x_4 - 1.6812155072903367*x_3 + 0.00023040097042745891*x_4**2 + 0.40880447711233344*x_4 - 3.7016141254683208)/(0.00020677365332084772*x_3**2 + 0.00021854542124478926*x_3*x_4 + 0.87178107383710319*x_3 + 5.7746834422822928e-5*x_4**2 - 0.22357589634181704*x_4 + 2.9398596586597383),0.014726114,1.538280034,1.207987859,0.001837312,1.351726342,1.061839556,27,-26.1718287
Feature(s): 1 2 7 8,1.76332045678212e-7*x_1 + 1.88278750314774e-7*x_2 + 8.8958464267891e-9*x_3 - 1.6058002e-9*(0.18986933*x_1 + 0.12028449*x_2 + 0.09651133*x_3 + 0.03260817*x_4 + 0.07162003)*(0.20311476*x_1 + 0.22457667*x_2 + 0.11589475*x_3 - 0.027014408*x_4 + 0.0142560415) + 3.1861389236842,-0.012555615,1.272817554,1.224597945,-0.019132412,1.016825977,1.072935317,25,-26.58440134
Feature(s): 2 3 6 7,(-0.6348650779848792*x_1 - 0.6115905831070093*x_2 - 0.03515629214798729*x_3 + 0.3837316793524134*x_4 - 0.3596648401636771*(-0.6579179882322005*x_1 + 0.5997319687829631*x_2 + 0.31565444315690155*x_3 + 0.6998515006697036*x_4 + 0.35061877245466766)*(0.24223103205013752*x_1 + 0.3531102728352163*x_2 - 0.4241263248491592*x_3 - 0.23182154310855668*x_4 + 0.3473584043420395) - 0.4172743284637019*sin(2.0952019186594457*x_1 + 1.4718311414042802*x_2 + 0.6145843071443168*x_3 + 0.021883191471784764) - 1.14910943238178*cos(-1.756433668075644*x_1 - 0.9282736006577118*x_2 + 1.2557728686741285*x_3 + 0.14427150048994267*x_4 + 2.295547768920239) - 1.1121215070448364)/(0.1916036815733985*x_1 + 0.1845793876564676*x_2 + 0.01061024655412652*x_3 - 0.1158110676580898*x_4 + 0.666991174755431*(-0.6579179882322005*x_1 + 0.5997319687829631*x_2 + 0.31565444315690155*x_3 + 0.6998515006697036*x_4 + 0.35061877245466766)*(0.24223103205013752*x_1 + 0.3531102728352163*x_2 - 0.4241263248491592*x_3 - 0.23182154310855668*x_4 + 0.3473584043420395) + 0.6872007830785035*sin(2.0952019186594457*x_1 + 1.4718311414042802*x_2 + 0.6145843071443168*x_3 + 0.021883191471784764) - 0.21465963192297044*cos(-1.756433668075644*x_1 - 0.9282736006577118*x_2 + 1.2557728686741285*x_3 + 0.14427150048994267*x_4 + 2.295547768920239) - 1.0928169925820033),0.804005878,0.618695739,0.538772731,0.56401998,0.620554376,0.701764714,95,-26.59870708
Feature(s): 2 4 6 9,0.000276245002033182*x_1 + 0.000282994744855368*x_2 - 5.9530505293896e-5*x_3 + 1.09412848642188e-6*x_4 - 0.001253875*(0.030873723*x_1 + 0.022779569*x_2 + 0.06650308*x_3 + 0.049849264*x_4 + 0.07492118)*(0.094772115*x_1 + 0.02945998*x_2 - 0.0340862*x_3 - 0.049852345*x_4 + 0.06909358) + 3.73827226623687,9.76E-05,1.605380943,1.216922438,0.006607075,1.281426277,1.059299495,27,-26.66476868
Feature(s): 2 9,3.542032378125e-7*x_1 + 0.012066884*(0.040036004*x_1 + 0.012290265*x_2 + 0.20871286)*(0.16833867*x_1 - 0.012262311*x_2 + 0.17530487) + 0.0031205665*sin(0.013238217*x_1 + 0.054602552*x_2 + 0.10248869) - 0.040786684*cos(-7.504702e-6*x_1 + 0.17756511*x_2 + 0.0923133) + 3.35233912846148,-0.009871267,1.429700748,1.222973625,0.013726168,1.137807195,1.055496966,27,-26.80725498
Feature(s): 1 6 8 9,(1.68611820008692*x_3 + 0.08251185465763858*(-0.12383604760538502*x_3 + 0.07591666788900196*x_4 + 0.09108362240006315)*(-0.0703579163371628*x_3 + 0.04422429100565916*x_4 + 0.14129769527846944) - 3.463929186916338)/(0.57087374885604551*x_3 + 0.020549024312521032*(-0.12383604760538502*x_3 + 0.07591666788900196*x_4 + 0.09108362240006315)*(-0.0703579163371628*x_3 + 0.04422429100565916*x_4 + 0.14129769527846944) + 5.658161129450728),0.004039589,1.601299397,1.214521259,-0.001725688,1.301111502,1.063733016,27,-26.88430496
Feature(s): 7 9,3.64127270963214e-7*x_1 - 5.021175e-5*(0.06416533*x_1 + 0.03023988*x_2 + 0.05564095)*(0.083189316*x_1 - 0.030387148*x_2 + 0.011117426) + 0.012945163*sin(0.014464277*x_1 - 0.14783843*x_2 + 0.048955966) - 0.019642802*cos(0.0004269846*x_1 + 0.12056231*x_2 + 0.0008035923) + 3.74927689411657,-3.91E-05,1.576105591,1.217005601,0.001228463,1.255010093,1.062163351,27,-26.94053265
Feature(s): 2 4 5 6,(-0.62835624966074987*x_1 - 1.3843368553981607*x_2 + 0.37297167555171364*x_3 + 0.48731218467094089*x_4 - 0.7959593945091955*(-1.477156971584722*x_1 - 0.26736078102791355*x_2 + 0.20535054667334732*x_3 + 0.4317935452206609*x_4 + 0.5013798085876952)*(1.2513405590149846*x_1 + 0.6282887055272741*x_2 - 0.38950089259411064*x_3 + 0.14684005577856116*x_4 - 0.018396529597672278) - 1.3198967897334264*sin(0.05215145574989466*x_1 + 1.1216634214854877*x_2 + 0.7246831230155476*x_3 + 0.23032511835354114*x_4 + 0.04679307218703161) + 0.5734703945448292*cos(0.7693002033524137*x_1 + 0.25943035092783384*x_2 + 0.1116852621772888*x_3 - 0.42059957472114545*x_4 - 0.24313554779082902) - 0.42859362031374697)/(0.043474539684648252*x_1 + 0.095779118277922095*x_2 - 0.025805061887706373*x_3 - 0.033716021640156554*x_4 + 0.588277249673106*(-1.477156971584722*x_1 - 0.26736078102791355*x_2 + 0.20535054667334732*x_3 + 0.4317935452206609*x_4 + 0.5013798085876952)*(1.2513405590149846*x_1 + 0.6282887055272741*x_2 - 0.38950089259411064*x_3 + 0.14684005577856116*x_4 - 0.018396529597672278) + 0.4875735251458743*sin(0.05215145574989466*x_1 + 1.1216634214854877*x_2 + 0.7246831230155476*x_3 + 0.23032511835354114*x_4 + 0.04679307218703161) + 0.6563710952013756*cos(0.7693002033524137*x_1 + 0.25943035092783384*x_2 + 0.1116852621772888*x_3 - 0.42059957472114545*x_4 - 0.24313554779082902) - 1.1704088160127042),0.799512408,0.593259815,0.544913833,0.641440351,0.61712096,0.636412851,99,-26.95236207
Feature(s): 2 3 5 6 7 8 9,(0.00053218339442636685*x_6**2 + 0.00076882388242120786*x_6*x_7 - 2.6820136672393732*x_6 + 0.00027767220254641848*x_7**2 + 0.66504651179290337*x_7 - 3.7348275118937532)/(0.00012115020327039883*x_6**2 + 0.0001750208116411905*x_6*x_7 + 1.9278476020777177*x_6 + 6.3211374374614027e-5*x_7**2 - 0.50789572434019416*x_7 + 3.9474970789516582),0.023072731,1.517727954,1.202860322,-0.022335431,1.558535751,1.074620052,27,-26.963135
Feature(s): 5 6 8 9,#NAME?,-5.44E-07,1.577336213,1.21698213,-0.000106903,1.257457123,1.062873175,27,-27.00537237
Feature(s): 1 4 8 9,#NAME?,-1.47E-07,1.57649364,1.216981889,-0.000115348,1.256777147,1.062877662,27,-27.00577474
Feature(s): 2 4 5 7 9,0.00312970131372329*x_1 + 0.00370187870518374*x_2 + 0.00107661003201264*x_3 + 0.00292972788057577*x_4 + 0.000367592*(0.028204966*x_1 + 0.01061565*x_2 + 0.09180899*x_3 + 0.05298161*x_4 + 0.01990031)*(0.043437842*x_1 + 0.08896994*x_2 + 0.14002772*x_3 + 0.12372699*x_4 + 0.047544017) + 3.75004420155806,-1.39E-07,1.576467402,1.216981884,-0.000115616,1.256755961,1.062877804,27,-27.00578774
Feature(s): 2 4 5 6 7 9,4.90275931922784e-5*x_2 - 0.000219597836836119*x_4 - 0.0002247599*(0.07151803*x_1 + 0.0855652*x_2 + 0.048322305*x_4 + 0.06754618*x_5 - 0.030791974*x_6 + 0.084862456)*(0.120806165*x_1 + 0.043801505*x_2 + 0.055221446*x_3 + 0.05401601*x_4 + 0.03038271*x_6 + 0.044513796) + 3.74772941991309,-8.14E-08,1.576259615,1.216981849,-0.000117751,1.256588176,1.062878939,27,-27.00589164
Feature(s): 5 8,0.000116694030275768*x_1 + 0.00054235314*(0.018549757*x_1 + 0.010485443*x_2 + 0.054526243)*(0.021317676*x_1 + 0.010491194*x_2 - 0.10907185) - 0.00081164594*sin(0.033701755*x_1 + 0.055467725*x_2 + 0.10010764) + 0.012517804*cos(0.047189333*x_1 + 0.035008885*x_2 + 0.000105143474) + 3.74573442162691,0.000101457,1.574417209,1.216920062,-0.000223379,1.255815748,1.062935066,27,-27.0060961
Feature(s): 1 3 5 7 9,0.000833369413169505*x_2 + 1.19358955211683e-5*x_4 - 0.00027752004*(0.2028898*x_1 + 0.11138817*x_2 - 0.03175755*x_3 + 0.09110841*x_4 - 0.06648254*x_5 + 0.1719365)*(0.2140215*x_1 + 0.1199971*x_2 + 0.033722058*x_3 + 0.04132158*x_4 + 0.06639008*x_5 + 0.079883575) + 3.74757646359302,-1.04E-08,1.575823524,1.216981806,-0.000122297,1.256236038,1.062881355,27,-27.00611537
Feature(s): 1 6 7 9,#NAME?,-3.05E-06,1.571622974,1.216983656,-0.000132229,1.252851368,1.062886632,27,-27.00676398
Feature(s): 3 4 7 9,0.000126615228814553*x_1 + 7.47853989284714e-5*x_2 + 1.77211020515406e-5*x_3 + 4.84076828128303e-6*x_4 + 2.0581454e-5*(0.10801714*x_1 + 0.18277463*x_2 + 0.14130723*x_3 - 0.025531722*x_4 + 0.17085789)*(0.15676782*x_1 + 0.14884132*x_2 + 0.14156105*x_3 + 0.025642125*x_4 + 0.08722173) + 3.74487875848253,-3.06E-07,1.574265559,1.216981985,-0.000139239,1.254978002,1.062890357,27,-27.00697726
Feature(s): 4 9,0.0011677447445958*x_1 + 6.505497e-5*(0.038718645*x_1 + 0.0811019*x_2 - 0.024765316)*(0.045228504*x_1 - 0.080964915*x_2 + 0.07968361) - 0.012563339*sin(0.00024237593*x_1 + 0.18296991*x_2 - 0.00065236527) + 0.00039453944*cos(0.07189811*x_1 + 0.08220394*x_2 + 0.0047107963) + 3.74592586758277,2.98E-05,1.574751847,1.216963649,-0.000910918,1.256102131,1.063300326,27,-27.0440545
Feature(s): 2 6 9,7.47595352136024e-6*x_3*(0.016936181*x_1 + 0.06486041*x_2 - 0.04758471*x_3 + 0.016401831) - 0.02198804*sin(0.00031436223*x_1 + 0.00024419412*x_2 - 0.18331872*x_3 + 0.00020617567) + 0.042254206*cos(9.8864e-5*x_1 + 0.00033220623*x_2 + 0.05381731*x_3 + 0.00027019714) + 3.7489393,0.000781464,1.576620708,1.216506192,-0.001821237,1.261294417,1.063783747,27,-27.05198862
Feature(s): 1 5 6 8,#NAME?,-0.000304876,1.575619587,1.217167299,-0.000808774,1.256579107,1.063246069,27,-27.05568246
Feature(s): 1 2 3 4 6 8 9,(1.0941371139412961*x_6 + 0.21675855040520642*(-0.06992200187391287*x_6 + 0.04224889504404056*x_7 + 0.9100987024777623)*(-0.0694628171143641*x_6 + 0.041966305295269124*x_7 + 0.9360403239164503) - 3.8749383830961759)/(0.38817831748525273*x_6 + 0.05640103172594482*(-0.06992200187391287*x_6 + 0.04224889504404056*x_7 + 0.9100987024777623)*(-0.0694628171143641*x_6 + 0.041966305295269124*x_7 + 0.9360403239164503) + 8.5762575042219752),0.003808535,1.552860249,1.21466213,-0.005130026,1.256141744,1.065539017,27,-27.06607452
Feature(s): 1 3 8 9,(0.010649852294598462*x_3**2 - 0.013425251825517281*x_3*x_4 + 2.4330590391745779*x_3 + 0.0042309828624304227*x_4**2 + 0.49896361948967353*x_4 - 1.336055052229019)/(0.0027453519431394629*x_3**2 - 0.0034608030390256348*x_3*x_4 + 0.92534990969842596*x_3 + 0.0010906758799513543*x_4**2 + 0.19534794221760546*x_4 + 4.5351827412570874),0.003013437,1.59708837,1.215146767,-0.005538751,1.29176466,1.06575564,27,-27.12626566
Feature(s): 2 3 6 7 9,#NAME?,-0.000339674,1.499585291,1.21718847,-0.009789552,1.196561542,1.068005945,27,-27.50646133
Feature(s): 1 2 4 5 8 9,(1.7978010306012993*(0.015404403962213582*x_5 + 0.017071482177108847*x_6 - 3.5585715018970867)*(2.8566664467526794*x_3 + 0.015280888339663443*x_5 + 0.01690161455838212*x_6 - 3.0400104762403664) - 0.7030647332429082)/(2.511937528932818*x_5 + 0.40712970373539353*(0.015404403962213582*x_5 + 0.017071482177108847*x_6 - 3.5585715018970867)*(2.8566664467526794*x_3 + 0.015280888339663443*x_5 + 0.01690161455838212*x_6 - 3.0400104762403664) + 3.8647136250661779),0.020810691,1.507787383,1.204252106,0.008758021,1.306202284,1.058152048,29,-27.52156439
Feature(s): 1 3 4 5 7 8 9,(-1.562558331703653*x_6 + 0.39765028618948561*x_7 + 0.5819839799967129*(0.02121921308186819*x_6 - 0.7499323595810488)*(1.7377798519973031*x_3 + 0.019368151347919572*x_6 + 0.02662774852294603*x_7 + 0.1608124281646576) - 4.5515442284516288)/(0.5310042932040714*x_6 - 0.13513352101884343*x_7 + 0.13525905272034747*(0.02121921308186819*x_6 - 0.7499323595810488)*(1.7377798519973031*x_3 + 0.019368151347919572*x_6 + 0.02662774852294603*x_7 + 0.1608124281646576) + 3.2683238740594297),0.02832415,1.491593744,1.19962301,0.040767698,1.179102687,1.040926659,31,-27.54540759
Feature(s): 1 3 9,-7.01367188259235e-7*x_1**2 - 4.29119411734005e-7*x_1*x_2 + 0.000197288611436718*x_1 + 0.000598166484474046*x_2 + 0.01998681*sin(-2.4898507e-5*x_1 + 0.21609536*x_2 + 0.29182845*x_3 + 0.23074329) - 0.0066434266*cos(-3.733035e-5*x_1 + 0.22366886*x_2 + 0.08982556*x_3 + 0.28490692) + 3.75097422518318,0.000382823,1.577290863,1.216748833,0.000187663,1.259301466,1.062716637,28,-27.97147573
Feature(s): 1 2 7 8,#NAME?,0.000174717,1.575350142,1.216875481,-6.63E-05,1.255661603,1.062851594,28,-27.9945787
Feature(s): 1 3 4 7 9,0.0033727412339478*x_2 + 0.00331470677595798*x_3 + 0.00142995280809888*x_4 + 9.988483e-6*(0.24107294*x_1 + 0.10992622*x_2 + 0.11867177*x_3 + 0.07107318*x_4 + 0.059191648*x_5)*(0.3082597*x_1 + 0.02522767*x_2 + 0.14880933*x_3 + 0.05824276*x_4 - 0.059175644*x_5 + 0.09817694) + 3.74746300965638,-1.94E-09,1.575685995,1.2169818,-0.000123748,1.256124985,1.062882126,28,-28.00618752
Feature(s): 4 5 6 7 8,0.00145871877238596*x_1 + 0.000214282985353966*x_2 - 0.000120179596023879*x_3 + 0.00069267429244078*x_4 - 3.2912736e-5*(0.08984101*x_1 + 0.010650331*x_2 + 0.09339978*x_3 - 0.010052846*x_4 - 0.051544566*x_5)*(0.029054085*x_2 - 0.017454091*x_3 + 0.02118157*x_4 + 0.05154449*x_5 + 0.06514068) + 3.7469544,-5.58E-10,1.575524963,1.2169818,-0.000125459,1.255994954,1.062883035,28,-28.00627296
Feature(s): 1 3 5 6 8,1.34411090868704e-6*x_1 + 1.37712948697948e-6*x_2 - 8.8551088529384e-8*x_3 + 2.0074653e-8*(-0.092055716*x_1 + 0.06887657*x_2 - 0.07460433*x_3 + 0.058291342*x_4 + 0.03203559*x_5 + 0.04603451)*(-0.0028197817*x_1 + 0.019677218*x_2 + 0.14799955*x_3 - 1.131473e-14*x_4 + 0.029986873*x_5 + 0.058184247) + 3.84375996793224,0.004476753,1.600825175,1.21425468,0.006678515,1.265823394,1.059261404,29,-28.4422366
Feature(s): 1 3 4 5 8,2.00848429413878e-7*x_2 + 2.97792533493882e-7*x_3 + 2.16553508324202e-8*x_4 - 2.9966485e-9*(7.6176113e-16*x_1 + 0.15302885*x_2 - 1.573277e-16*x_3 + 0.13640493*x_4 - 0.038857147*x_5 + 0.06426517)*(0.03814367*x_1 + 0.09175332*x_2 + 0.09889743*x_3 + 0.09685156*x_4 + 0.033732582*x_5 + 0.12541829) + 3.8948376,0.004194862,1.627459825,1.214426581,0.006217427,1.29010523,1.059507224,29,-28.47938555
Feature(s): 2,(-2.7851864389885949*x_1**2 - 2.4643022854048907*x_1 - 2.8054359396152395*sin(1.9206572721009936*x_1 + 0.03511500401523135) + 0.9807530144268992*cos(1.0183112684587394*x_1 + 0.7393669674436187) - 0.79829710696309797)/(0.86056254359131808*x_1**2 + 0.83115347393661433*x_1 + 0.49406619444796784*sin(1.9206572721009936*x_1 + 0.03511500401523135) - 0.1170836725760961*cos(1.0183112684587394*x_1 + 0.7393669674436187) - 0.42203040177478388),0.188640591,0.702430615,1.096202332,-0.143106275,0.634018846,1.136322322,31,-28.7232842
Feature(s): 5 6 7,#NAME?,0.202959974,1.16910186,1.086486036,0.002130446,0.952909945,1.061683627,39,-28.74547901
